2024-12-28|12:23:42|Records|Josey Records|-100.00
2025-07-01|10:13:25|Records|Waterloo Records|-150.00
2025-07-06|12:57:13|Turntable|Sweetwater|-1500.00
2025-08-10|01:34:23|Invoice 302 Paid|Jill|100.00
2025-08-20|11:34:56|Invoice 303 Paid|Emma|55.00
2025-09-01|02:34:55|Records|Josey Records|-300.00
2025-09-05|02:45:34|Invoice 304 Paid|Evette|1600.00
2025-10-06|03:02:03|Invoice 305 Paid|Celeste|300.00
2025-10-10|05:34:25|Turntable and Cartridge|Sweetwater|-1800.00
2025-10-16|09:56:09.941236|test1|test1|100.0
2025-10-16|09:56:39.017347|test2|test2|-100.0
2025-10-16|10:39:38.828485|test3|test3|100.0
